Survived,Pclass,Sex_encoded,Age,Fare,IsAlone,FamilySize
0,3,0,29.0,9.4833,Yes,1
0,2,0,52.0,13.0,Yes,1
0,3,0,19.0,7.65,Yes,1
1,1,1,38.0,227.525,Yes,1
1,2,1,27.0,10.5,Yes,1
0,3,0,28.0,15.5,Yes,1
0,3,0,33.0,7.775,Yes,1
1,2,1,6.0,33.0,No,2
0,3,0,17.0,7.0542,No,2
0,2,0,34.0,13.0,Yes,1
0,2,0,50.0,13.0,Yes,1
1,1,0,27.0,53.1,No,2
0,3,0,20.0,8.6625,Yes,1
1,2,1,30.0,21.0,No,4
1,3,1,28.0,7.7375,Yes,1
0,2,0,25.0,26.0,No,2
0,3,1,25.0,7.925,No,2
1,1,1,29.0,211.3375,Yes,1
0,3,0,11.0,18.7875,Yes,1
0,2,0,28.0,0.0,Yes,1
0,2,0,23.0,13.0,Yes,1
0,2,0,23.0,13.0,Yes,1
0,3,0,28.5,16.1,Yes,1
0,3,1,48.0,34.375,No,5
1,1,0,35.0,512.3292,Yes,1
0,3,0,28.0,7.8958,Yes,1
0,3,0,28.0,7.8958,Yes,1
1,1,0,28.0,30.0,Yes,1
0,1,0,36.0,78.85,No,2
1,1,1,21.0,262.375,No,5
0,3,0,24.0,16.1,No,2
1,3,0,31.0,7.925,Yes,1
0,1,0,70.0,71.0,No,3
0,3,0,16.0,20.25,No,3
1,2,1,30.0,13.0,Yes,1
0,1,0,19.0,53.1,No,2
0,3,0,31.0,7.75,Yes,1
1,2,1,4.0,23.0,No,3
1,3,0,6.0,12.475,No,2
0,3,0,33.0,9.5,Yes,1
0,3,0,23.0,7.8958,Yes,1
1,2,1,48.0,65.0,No,4
1,2,0,0.67,14.5,No,3
0,3,0,28.0,7.7958,Yes,1
0,2,0,18.0,11.5,Yes,1
0,3,0,34.0,8.05,Yes,1
1,1,1,33.0,86.5,Yes,1
0,3,0,28.0,14.5,Yes,1
0,3,0,41.0,7.125,Yes,1
1,3,0,20.0,7.2292,Yes,1
1,1,1,36.0,120.0,No,4
0,3,0,16.0,7.775,Yes,1
1,1,1,51.0,77.9583,No,2
0,1,0,28.0,39.6,Yes,1
0,3,1,30.5,7.75,Yes,1
0,3,0,28.0,24.15,No,2
0,3,0,32.0,8.3625,Yes,1
0,3,0,24.0,9.5,Yes,1
0,3,0,48.0,7.8542,Yes,1
0,2,1,57.0,10.5,Yes,1
0,3,0,28.0,7.225,Yes,1
1,2,1,54.0,23.0,No,5
0,3,0,18.0,7.75,Yes,1
0,3,0,28.0,7.75,Yes,1
1,3,1,5.0,12.475,Yes,1
0,3,0,28.0,7.7375,Yes,1
1,1,1,43.0,211.3375,No,2
1,3,1,13.0,7.2292,Yes,1
1,1,1,17.0,57.0,No,2
0,1,0,29.0,30.0,Yes,1
0,3,0,28.0,23.45,No,4
0,3,0,25.0,7.05,Yes,1
0,3,0,25.0,7.25,Yes,1
1,3,1,18.0,7.4958,Yes,1
0,3,0,8.0,29.125,No,6
1,3,0,1.0,20.575,No,4
0,1,0,46.0,79.2,Yes,1
0,3,0,28.0,7.75,Yes,1
0,2,0,16.0,26.0,Yes,1
0,3,1,28.0,69.55,No,11
0,1,0,28.0,30.6958,Yes,1
0,3,0,25.0,7.8958,Yes,1
0,2,0,39.0,13.0,Yes,1
1,1,1,49.0,25.9292,Yes,1
1,3,1,31.0,8.6833,Yes,1
0,3,0,30.0,7.2292,Yes,1
0,3,1,30.0,24.15,No,3
0,2,0,34.0,13.0,Yes,1
1,2,1,31.0,26.25,No,3
1,1,0,11.0,120.0,No,4
1,3,0,0.42,8.5167,No,2
1,3,0,27.0,6.975,Yes,1
0,3,0,31.0,7.775,Yes,1
0,1,0,39.0,0.0,Yes,1
0,3,1,18.0,7.775,Yes,1
0,2,0,39.0,13.0,Yes,1
1,1,1,33.0,53.1,No,2
0,3,0,26.0,7.8875,Yes,1
0,3,0,39.0,24.15,Yes,1
0,2,0,35.0,10.5,Yes,1
0,3,1,6.0,31.275,No,7
0,3,0,30.5,8.05,Yes,1
0,1,0,28.0,0.0,Yes,1
0,3,1,23.0,7.925,Yes,1
0,2,0,31.0,37.0042,No,3
0,3,0,43.0,6.45,Yes,1
0,3,0,10.0,27.9,No,6
1,1,1,52.0,93.5,No,3
1,3,0,27.0,8.6625,Yes,1
0,1,0,38.0,0.0,Yes,1
1,3,1,27.0,12.475,No,2
0,3,0,2.0,39.6875,No,6
0,3,0,28.0,6.95,Yes,1
0,3,0,28.0,56.4958,Yes,1
1,2,0,1.0,37.0042,No,3
1,3,0,28.0,7.75,Yes,1
1,1,1,62.0,80.0,Yes,1
1,3,1,15.0,14.4542,No,2
1,2,0,0.83,18.75,No,3
0,3,0,28.0,7.2292,Yes,1
0,3,0,23.0,7.8542,Yes,1
0,3,0,18.0,8.3,Yes,1
1,1,1,39.0,83.1583,No,3
0,3,0,21.0,8.6625,Yes,1
0,3,0,28.0,8.05,Yes,1
1,3,0,32.0,56.4958,Yes,1
1,1,0,28.0,29.7,Yes,1
0,3,0,20.0,7.925,Yes,1
0,2,0,16.0,10.5,Yes,1
1,1,1,30.0,31.0,Yes,1
0,3,0,34.5,6.4375,Yes,1
0,3,0,17.0,8.6625,Yes,1
0,3,0,42.0,7.55,Yes,1
0,3,0,28.0,69.55,No,11
0,3,0,35.0,7.8958,Yes,1
0,2,0,28.0,33.0,No,2
1,1,1,28.0,89.1042,No,2
0,3,0,4.0,31.275,No,7
0,3,0,74.0,7.775,Yes,1
0,3,1,9.0,15.2458,No,3
1,1,1,16.0,39.4,No,2
0,2,1,44.0,26.0,No,2
1,3,1,18.0,9.35,No,2
1,1,1,45.0,164.8667,No,3
1,1,0,51.0,26.55,Yes,1
1,3,1,24.0,19.2583,No,4
0,3,0,28.0,7.2292,Yes,1
0,3,0,41.0,14.1083,No,3
0,2,0,21.0,11.5,No,2
1,1,1,48.0,25.9292,Yes,1
0,3,1,28.0,69.55,No,11
0,2,0,24.0,13.0,Yes,1
1,2,1,42.0,13.0,Yes,1
1,2,1,27.0,13.8583,No,2
0,1,0,31.0,50.4958,Yes,1
0,3,0,28.0,9.5,Yes,1
1,3,0,4.0,11.1333,No,3
0,3,0,26.0,7.8958,Yes,1
1,1,1,47.0,52.5542,No,3
0,1,0,33.0,5.0,Yes,1
0,3,0,47.0,9.0,Yes,1
1,2,1,28.0,24.0,No,2
1,3,1,15.0,7.225,Yes,1
0,3,0,20.0,9.8458,Yes,1
0,3,0,19.0,7.8958,Yes,1
0,3,0,28.0,7.8958,Yes,1
1,1,1,56.0,83.1583,No,2
1,2,1,25.0,26.0,No,2
0,3,0,33.0,7.8958,Yes,1
0,3,1,22.0,10.5167,Yes,1
0,2,0,28.0,10.5,Yes,1
0,3,0,25.0,7.05,Yes,1
0,3,1,39.0,29.125,No,6
0,2,0,27.0,13.0,Yes,1
1,1,1,19.0,30.0,Yes,1
0,3,1,28.0,23.45,No,4
1,1,0,26.0,30.0,Yes,1
0,3,0,32.0,7.75,Yes,1
